Tempo (0.100 seg);PV;SP;MV
2510.30;50.80;50.00;40.96
2510.40;49.60;50.00;42.16
2510.50;49.60;50.00;42.18
2510.60;50.89;50.00;40.87
2510.70;49.17;50.00;42.61
2510.80;49.28;50.00;42.50
2510.90;49.92;50.00;41.86
2511.00;50.12;50.00;41.66
2511.10;50.01;50.00;41.77
2511.20;50.56;50.00;41.21
2511.30;49.57;50.00;42.20
2511.40;50.71;50.00;41.06
2511.50;50.09;50.00;41.67
2511.60;50.22;50.00;41.55
2511.70;50.34;50.00;41.42
2511.80;50.11;50.00;41.65
2511.90;50.67;50.00;41.09
2512.00;49.78;50.00;41.98
2512.10;49.98;50.00;41.78
2512.20;49.81;50.00;41.95
2512.30;50.35;50.00;41.41
2512.40;49.74;50.00;42.02
2512.50;50.42;50.00;41.33
2512.60;50.32;50.00;41.43
2512.70;49.68;50.00;42.07
2512.80;50.37;50.00;41.38
2512.90;49.67;50.00;42.08
2513.00;50.83;50.00;40.91
2513.10;49.27;50.00;42.48
2513.20;49.12;50.00;42.64
2513.30;49.17;50.00;42.60
2513.40;49.37;50.00;42.41
2513.50;49.50;50.00;42.28
2513.60;50.63;50.00;41.15
2513.70;50.91;50.00;40.85
2513.80;49.68;50.00;42.09
2513.90;49.96;50.00;41.81
2514.00;49.45;50.00;42.33
2514.10;50.15;50.00;41.63
2514.20;50.74;50.00;41.03
2514.30;50.43;50.00;41.33
2514.40;49.27;50.00;42.50
2514.50;49.62;50.00;42.15
2514.60;50.74;50.00;41.03
2514.70;49.45;50.00;42.32
2514.80;50.84;50.00;40.92
2514.90;49.61;50.00;42.15
2515.00;49.95;50.00;41.82
2515.10;50.72;50.00;41.04
2515.20;50.57;50.00;41.18
2515.30;49.49;50.00;42.27
2515.40;50.04;50.00;41.72
2515.50;50.91;50.00;40.83
2515.60;49.69;50.00;42.06
2515.70;50.92;50.00;40.83
2515.80;50.03;50.00;41.71
2515.90;49.19;50.00;42.56
2516.00;50.00;50.00;41.75
2516.10;50.66;50.00;41.08
2516.20;50.94;50.00;40.79
2516.30;50.35;50.00;41.38
2516.40;50.34;50.00;41.39
2516.50;51.06;50.00;40.66
2516.60;50.99;50.00;40.72
2516.70;49.60;50.00;42.11
2516.80;49.59;50.00;42.13
2516.90;50.07;50.00;41.64
2517.00;49.45;50.00;42.27
2517.10;50.89;50.00;40.82
2517.20;50.34;50.00;41.37
2517.30;50.98;50.00;40.72
2517.40;49.13;50.00;42.58
2517.50;48.99;50.00;42.73
2517.60;49.23;50.00;42.49
2517.70;49.76;50.00;41.96
2517.80;49.53;50.00;42.20
2517.90;49.11;50.00;42.64
2518.00;49.84;50.00;41.90
2518.10;49.98;50.00;41.76
2518.20;50.51;50.00;41.23
2518.30;50.14;50.00;41.59
2518.40;50.22;50.00;41.51
2518.50;49.41;50.00;42.33
2518.60;50.67;50.00;41.07
2518.70;49.57;50.00;42.16
2518.80;49.06;50.00;42.69
2518.90;50.14;50.00;41.60
2519.00;50.26;50.00;41.48
2519.10;49.88;50.00;41.86
2519.20;50.41;50.00;41.33
2519.30;50.44;50.00;41.30
2519.40;50.86;50.00;40.87
2519.50;50.82;50.00;40.89
2519.60;49.26;50.00;42.47
2519.70;50.27;50.00;41.45
2519.80;49.64;50.00;42.09
2519.90;49.84;50.00;41.89
2520.00;50.70;50.00;41.02
2520.10;50.00;50.00;41.72
2520.20;49.94;50.00;41.79
2520.30;50.44;50.00;41.28
2520.40;49.72;50.00;42.00
2520.50;50.91;50.00;40.80
2520.60;50.58;50.00;41.12
2520.70;50.92;50.00;40.78
2520.80;50.44;50.00;41.25
2520.90;50.47;50.00;41.21
2521.00;49.09;50.00;42.60
2521.10;49.32;50.00;42.39
2521.20;50.91;50.00;40.79
2521.30;49.22;50.00;42.48
2521.40;49.73;50.00;41.98
2521.50;50.68;50.00;41.02
2521.60;50.38;50.00;41.31
2521.70;49.66;50.00;42.03
2521.80;49.80;50.00;41.90
2521.90;50.59;50.00;41.10
2522.00;49.25;50.00;42.46
2522.10;50.37;50.00;41.33
2522.20;49.54;50.00;42.16
2522.30;50.63;50.00;41.07
2522.40;49.88;50.00;41.81
2522.50;49.93;50.00;41.77
2522.60;49.08;50.00;42.63
2522.70;50.07;50.00;41.63
2522.80;50.79;50.00;40.91
2522.90;49.32;50.00;42.38
2523.00;50.64;50.00;41.05
2523.10;49.73;50.00;41.97
2523.20;49.80;50.00;41.90
2523.30;50.24;50.00;41.46
2523.40;49.83;50.00;41.87
2523.50;49.86;50.00;41.84
2523.60;50.44;50.00;41.26
2523.70;49.58;50.00;42.12
2523.80;50.01;50.00;41.70
2523.90;50.25;50.00;41.45
2524.00;49.36;50.00;42.35
2524.10;50.12;50.00;41.59
2524.20;49.83;50.00;41.88
2524.30;50.36;50.00;41.34
2524.40;50.96;50.00;40.74
2524.50;49.18;50.00;42.53
2524.60;49.92;50.00;41.78
2524.70;49.70;50.00;42.00
2524.80;49.08;50.00;42.63
2524.90;49.58;50.00;42.14
2525.00;50.63;50.00;41.08
2525.10;50.20;50.00;41.51
2525.20;49.86;50.00;41.86
2525.30;50.57;50.00;41.14
2525.40;49.56;50.00;42.15
2525.50;49.81;50.00;41.91
2525.60;49.53;50.00;42.18
2525.70;49.79;50.00;41.93
2525.80;49.54;50.00;42.18
2525.90;49.26;50.00;42.48
2526.00;50.73;50.00;41.00
2526.10;50.53;50.00;41.19
