Tempo (0.100 seg);PV;SP;MV
0.00;59.52;60.00;42.09
0.10;59.80;60.00;41.85
0.20;60.80;60.00;41.02
0.30;59.41;60.00;42.18
0.40;58.83;60.00;42.67
0.50;59.10;60.00;42.46
0.60;60.96;60.00;40.90
0.70;59.18;60.00;42.39
0.80;60.56;60.00;41.23
0.90;60.57;60.00;41.22
1.00;60.97;60.00;40.88
1.10;59.57;60.00;42.05
1.20;59.40;60.00;42.19
1.30;59.17;60.00;42.40
1.40;59.18;60.00;42.39
1.50;59.92;60.00;41.78
1.60;59.06;60.00;42.50
1.70;61.01;60.00;40.86
1.80;60.21;60.00;41.53
1.90;59.66;60.00;41.99
2.00;60.13;60.00;41.60
2.10;59.11;60.00;42.46
2.20;60.84;60.00;41.00
2.30;60.18;60.00;41.56
2.40;59.44;60.00;42.18
2.50;59.93;60.00;41.77
2.60;59.21;60.00;42.37
2.70;59.86;60.00;41.83
2.80;60.86;60.00;40.99
2.90;60.41;60.00;41.36
3.00;58.93;60.00;42.61
3.10;59.84;60.00;41.85
3.20;59.42;60.00;42.21
3.30;59.44;60.00;42.20
3.40;60.73;60.00;41.12
3.50;60.72;60.00;41.11
3.60;60.88;60.00;40.97
3.70;60.27;60.00;41.48
3.80;60.76;60.00;41.07
3.90;60.06;60.00;41.65
4.00;60.09;60.00;41.63
4.10;59.49;60.00;42.13
4.20;60.55;60.00;41.24
4.30;60.19;60.00;41.54
4.40;59.56;60.00;42.06
4.50;60.53;60.00;41.25
4.60;59.63;60.00;42.00
4.70;60.08;60.00;41.63
4.80;59.09;60.00;42.47
4.90;59.40;60.00;42.21
5.00;59.83;60.00;41.85
5.10;59.89;60.00;41.80
5.20;59.04;60.00;42.52
5.30;59.72;60.00;41.96
5.40;59.37;60.00;42.25
5.50;59.06;60.00;42.52
5.60;60.91;60.00;40.97
5.70;59.81;60.00;41.89
5.80;61.02;60.00;40.87
5.90;59.91;60.00;41.80
6.00;60.20;60.00;41.56
6.10;59.70;60.00;41.97
6.20;60.47;60.00;41.32
6.30;60.09;60.00;41.65
6.40;60.40;60.00;41.39
6.50;59.26;60.00;42.34
6.60;60.80;60.00;41.05
6.70;60.03;60.00;41.69
6.80;60.22;60.00;41.53
6.90;59.61;60.00;42.04
7.00;60.05;60.00;41.67
7.10;60.55;60.00;41.25
7.20;60.85;60.00;40.99
7.30;60.91;60.00;40.94
7.40;59.17;60.00;42.40
7.50;60.40;60.00;41.37
7.60;60.23;60.00;41.51
7.70;59.93;60.00;41.76
7.80;60.26;60.00;41.48
7.90;61.28;60.00;40.62
8.00;60.08;60.00;41.62
8.10;58.91;60.00;42.60
8.20;60.84;60.00;40.98
8.30;60.99;60.00;40.85
8.40;60.50;60.00;41.26
8.50;60.67;60.00;41.11
8.60;60.66;60.00;41.11
8.70;60.88;60.00;40.92
8.80;59.13;60.00;42.39
8.90;60.20;60.00;41.50
9.00;60.20;60.00;41.50
9.10;60.52;60.00;41.23
9.20;60.89;60.00;40.91
9.30;58.73;60.00;42.72
9.40;60.31;60.00;41.40
9.50;59.00;60.00;42.50
9.60;61.03;60.00;40.80
9.70;59.23;60.00;42.30
9.80;60.48;60.00;41.26
9.90;59.37;60.00;42.19
10.00;60.17;60.00;41.52
10.10;60.60;60.00;41.16
10.20;60.63;60.00;41.12
10.30;58.67;60.00;42.77
10.40;59.05;60.00;42.46
10.50;59.23;60.00;42.32
10.60;59.61;60.00;42.01
10.70;59.72;60.00;41.92
10.80;59.42;60.00;42.17
10.90;60.28;60.00;41.45
11.00;59.75;60.00;41.90
11.10;59.20;60.00;42.36
11.20;59.22;60.00;42.35
11.30;60.46;60.00;41.31
11.40;60.95;60.00;40.90
11.50;59.78;60.00;41.87
11.60;60.95;60.00;40.89
11.70;59.54;60.00;42.07
11.80;60.63;60.00;41.16
11.90;60.78;60.00;41.03
12.00;59.84;60.00;41.81
12.10;59.48;60.00;42.12
12.20;58.90;60.00;42.61
12.30;60.93;60.00;40.91
